         398394 function calls (396560 primitive calls) in 1.516 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    89/33    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:172(getwidth)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
     14/7    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/inspect.py:2428(_signature_from_callable)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
       35    0.000    0.000    0.008    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:1079(_find_all)
      396    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
       24    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
      184    0.000    0.000    0.004    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/httpx/_decoders.py:95(decode)
      442    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_receivebuffer.py:60(__len__)
       91    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
    36/15    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:447(_parse_sub)
      352    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1211    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       64    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/_markupbase.py:165(parse_comment)
      149    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      109    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1280(__getattr__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
    201/9    0.000    0.000    0.094    0.010 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       69    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:224(__init__)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      106    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:827(_set_new_attribute)
       28    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1843(__init_subclass__)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        1    0.000    0.000    0.021    0.021 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/anyio/abc/__init__.py:1(<module>)
      102    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      190    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_state.py:301(_fire_event_triggered_transitions)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
  276/162    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1364(__hash__)
      221    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_receivebuffer.py:57(__bool__)
      294    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:252(get)
       18    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:528(_init_fn)
      179    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:392(cached)
      369    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/httpx/_decoders.py:237(decode)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/collections/__init__.py:348(namedtuple)
